"","ID","Case Number","Date","Block","IUCR","Primary Type","Description","Location Description","Arrest","Domestic","Beat","District","Ward","Community Area","FBI Code","X Coordinate","Y Coordinate","Year","Updated On","Latitude","Longitude","Location"
"1",1801036,"G628008","10/19/2001 01:50:38 AM","014XX W LAKE ST","0820","THEFT","$500 AND UNDER","STREET","false","false","1211","012",NA,NA,"06",1166661,1901580,2001,"08/17/2015 03:03:40 PM",41.88550516,-87.663443852,"(41.88550516, -87.663443852)"
"2",6026009,"HP128128","01/16/2008 10:30:38 PM","014XX N LONG AVE","0486","BATTERY","DOMESTIC BATTERY SIMPLE","RESIDENCE PORCH/HALLWAY","false","true","2532","025",37,25,"08B",1140089,1909028,2008,"02/04/2016 06:33:39 AM",41.906471122,-87.760839745,"(41.906471122, -87.760839745)"
"3",9642533,"HX293172","06/06/2014 10:40:00 PM","017XX W JONQUIL TER","1330","CRIMINAL TRESPASS","TO LAND","APARTMENT","true","false","2422","024",49,1,"26",1163545,1950997,2014,"02/04/2016 06:33:39 AM",42.021173994,-87.673489176,"(42.021173994, -87.673489176)"
"4",9629535,"HX280623","05/28/2014 11:29:00 PM","044XX S ASHLAND AVE","0860","THEFT","RETAIL THEFT","GAS STATION","false","false","0924","009",11,61,"06",1166418,1875231,2014,"02/04/2016 06:33:39 AM",41.813206247,-87.665089129,"(41.813206247, -87.665089129)"
"5",4540277,"HM126422","01/15/2006 09:35:10 PM","018XX W 77TH ST","4387","OTHER OFFENSE","VIOLATE ORDER OF PROTECTION","APARTMENT","false","false","0611","006",17,71,"26",1165509,1853621,2006,"04/15/2016 08:55:02 AM",41.753925009,-87.669035779,"(41.753925009, -87.669035779)"
"6",8359071,"HT473283","08/30/2011 11:00:00 AM","055XX S ALBANY AVE","0910","MOTOR VEHICLE THEFT","AUTOMOBILE","STREET","false","false","0824","008",14,63,"07",1156654,1867832,2011,"02/04/2016 06:33:39 AM",41.793105159,-87.701103736,"(41.793105159, -87.701103736)"
"7",3379975,"HK423858","06/11/2004 01:20:00 PM","015XX E 55TH ST","0860","THEFT","RETAIL THEFT","GROCERY FOOD STORE","true","false","2132","002",4,41,"06",1187447,1868839,2004,"04/15/2016 08:55:02 AM",41.795191528,-87.588157998,"(41.795191528, -87.588157998)"
"8",5860447,"HN667758","10/24/2007 06:00:00 PM","044XX N LARAMIE AVE","1310","CRIMINAL DAMAGE","TO PROPERTY","CHURCH/SYNAGOGUE/PLACE OF WORSHIP","false","false","1623","016",45,15,"14",1140884,1929189,2007,"04/15/2016 08:55:02 AM",41.961780348,-87.757421863,"(41.961780348, -87.757421863)"
"9",4915102,"HM530881","08/10/2006 01:00:00 AM","013XX W CHICAGO AVE","0486","BATTERY","DOMESTIC BATTERY SIMPLE","SIDEWALK","false","true","1324","012",27,24,"08B",1167107,1905467,2006,"04/15/2016 08:55:02 AM",41.896161802,-87.661694334,"(41.896161802, -87.661694334)"
"10",4750916,"HM230475","03/13/2006 06:20:00 PM","051XX W WEST END AVE","2092","NARCOTICS","SOLICIT NARCOTICS ON PUBLICWAY","STREET","true","false","1532","015",28,25,"26",1141871,1900491,2006,"04/15/2016 08:55:02 AM",41.883011761,-87.754505236,"(41.883011761, -87.754505236)"
